,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,0,3,1,0.3394149103491664,1,0,0.11153846153846154,1,3,1,1,Southampton,0,0
2,1,3,0,0.4023277760301982,0,0,0.12192307692307693,1,3,2,0,Southampton,1,1
3,1,1,0,0.5438817238125196,1,0,0.816923076923077,1,1,2,0,Southampton,1,0
4,0,3,1,0.5438817238125196,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
5,0,3,1,0.46050829894713463,0,0,0.1301276923076923,2,3,1,1,Queenstown,0,1
6,0,1,1,0.8427178357974205,0,0,0.7978846153846154,1,1,1,1,Southampton,0,1
7,0,3,1,0.02485058194400755,3,1,0.3242307692307692,1,3,3,0,Southampton,0,0
8,1,3,0,0.4180559924504561,0,2,0.17128153846153849,1,3,2,0,Southampton,1,0
9,1,2,0,0.21358917898710286,1,0,0.4626276923076923,3,2,3,0,Cherbourg,1,0
10,1,3,0,0.056307014784523435,1,1,0.2569230769230769,1,3,3,0,Southampton,1,0
11,1,1,0,0.9056307014784524,0,0,0.4084615384615385,1,1,2,0,Southampton,1,1
12,0,3,1,0.3079584775086505,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
13,0,3,1,0.6067945894935515,1,5,0.48115384615384615,1,3,1,1,Southampton,0,0
14,0,3,0,0.21358917898710286,0,0,0.12083384615384615,1,3,3,0,Southampton,0,1
15,1,2,0,0.8584460522176786,0,0,0.24615384615384617,1,2,2,0,Southampton,1,1
16,0,3,1,0.02485058194400755,4,1,0.4480769230769231,2,3,3,0,Queenstown,0,0
17,1,2,1,0.46050829894713463,0,0,0.2,1,2,1,1,Southampton,1,1
18,0,3,0,0.4809688581314879,1,0,0.27692307692307694,1,3,2,0,Southampton,0,0
19,1,3,0,0.46050829894713463,0,0,0.11115384615384616,3,3,2,0,Cherbourg,1,1
20,0,2,1,0.5438817238125196,0,0,0.4,1,2,1,1,Southampton,0,1
21,1,2,1,0.5281535073922617,0,0,0.2,1,2,1,1,Southampton,1,1
22,1,3,0,0.2293173954073608,0,0,0.12352615384615384,2,3,3,0,Queenstown,1,1
23,1,1,1,0.43378420887071406,0,0,0.5461538461538462,1,1,1,1,Southampton,1,1
24,0,3,0,0.1192198804655552,3,1,0.3242307692307692,1,3,3,0,Southampton,0,0
25,1,3,0,0.5910663730732935,1,5,0.4828846153846154,1,3,2,0,Southampton,1,0
26,0,3,1,0.46050829894713463,0,0,0.11115384615384616,3,3,1,1,Cherbourg,0,1
28,1,3,0,0.46050829894713463,0,0,0.12121846153846154,2,3,2,0,Queenstown,1,1
29,0,3,1,0.46050829894713463,0,0,0.12147384615384617,1,3,1,1,Southampton,0,1
30,0,1,1,0.6225228059138094,0,0,0.4264738461538462,3,1,1,1,Cherbourg,0,1
32,1,3,0,0.46050829894713463,0,0,0.11923076923076924,2,3,2,0,Queenstown,1,1
35,0,1,1,0.6539792387543253,1,0,0.8,1,1,1,1,Southampton,0,0
36,1,3,1,0.46050829894713463,0,0,0.11121846153846154,3,3,1,1,Cherbourg,1,1
37,0,3,1,0.3236866939289085,0,0,0.12384615384615387,1,3,1,1,Southampton,0,1
38,0,3,0,0.27650204466813466,2,0,0.27692307692307694,1,3,2,0,Southampton,0,0
39,1,3,0,0.21358917898710286,1,0,0.17294923076923077,3,3,3,0,Cherbourg,1,0
40,0,3,0,0.6225228059138094,1,0,0.14576923076923076,1,3,2,0,Southampton,0,0
41,0,2,0,0.4180559924504561,1,0,0.3230769230769231,1,2,2,0,Southampton,0,0
42,0,3,1,0.46050829894713463,0,0,0.12147384615384617,3,3,1,1,Cherbourg,0,1
43,1,2,0,0.04057879836426549,1,2,0.63968,3,2,3,0,Cherbourg,1,0
44,1,3,0,0.29223026108839256,0,0,0.12121846153846154,2,3,2,0,Queenstown,1,1
